Reference, Value, Footprint, Datasheet
P1,INPUT,Pin_Headers:Pin_Header_Straight_1x02,
R3,10M,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R4,6K8,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R5,680R,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C2,10uF,Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5,
C1,10uF,Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5,
Q1,J201,Housings_TO-92:TO-92_Inline_Narrow_Oval,
R7,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R6,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
U1,TL072,Sockets_DIP:DIP-8__300_ELL,
R9,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R8,4K7,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R10,33K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
RV1,B100K,Potentiometers:Potentiometer_Alps-RK16-single,
R13,33K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R12,33K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C3,47nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C4,560pF,Capacitors_ThroughHole:C_Disc_D3_P2.5,
R11,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
RV2,B100K,Potentiometers:Potentiometer_Alps-RK16-single,
R14,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R1,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R2,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
P2,OUTPUT,Pin_Headers:Pin_Header_Straight_1x02,
RV3,A100K,Potentiometers:Potentiometer_Alps-RK16-single,
C5,10uF,Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5,
